candidate_id,demand_id,load_id,demand_type,carrier_id,capacity_unit_id,capacity_signal_id,lane_id,customer_id,priority,expected_buy_rate,fallback_buy_rate,accept_probability,service_probability,availability_confidence,arrival_probability,expected_failure_cost,incremental_capacity_value,weighted_value,historical_support_loads,coverage_deadline
L1001::CS001-U1,L1001,L1001,OPEN,C001,CS001-U1,CS001,CHI_ATL,CU001,CRITICAL,1875.6,2325.0,0.8657,0.9763,0.91,1.0,56.91,392.49,392.49,21,2026-08-27 12:00:00
L1001::CS001-U2,L1001,L1001,OPEN,C001,CS001-U2,CS001,CHI_ATL,CU001,CRITICAL,1875.6,2325.0,0.8657,0.9763,0.91,1.0,56.91,392.49,392.49,21,2026-08-27 12:00:00
L1001::CS002-U1,L1001,L1001,OPEN,C002,CS002-U1,CS002,CHI_ATL,CU001,CRITICAL,1777.1,2325.0,0.8434,0.9697,0.83,1.0,68.2,479.7,479.7,38,2026-08-27 12:00:00
L1001::CS003-U1,L1001,L1001,OPEN,C009,CS003-U1,CS003,CHI_ATL,CU001,CRITICAL,1981.1,2325.0,0.7873,0.9546,0.71,1.0,95.59,248.31,248.31,72,2026-08-27 12:00:00
L1002::CS001-U1,L1002,L1002,OPEN,C001,CS001-U1,CS001,CHI_MEM,CU003,NORMAL,1721.7,1980.0,0.8409,0.9697,0.91,1.0,20.61,237.69,237.69,59,2026-08-27 15:00:00
L1002::CS001-U2,L1002,L1002,OPEN,C001,CS001-U2,CS001,CHI_MEM,CU003,NORMAL,1721.7,1980.0,0.8409,0.9697,0.91,1.0,20.61,237.69,237.69,59,2026-08-27 15:00:00
L1002::CS002-U1,L1002,L1002,OPEN,C002,CS002-U1,CS002,CHI_MEM,CU003,NORMAL,1627.2,1980.0,0.8187,0.9631,0.83,1.0,24.08,328.72,328.72,74,2026-08-27 15:00:00
L1003::CS001-U1,L1003,L1003,OPEN,C001,CS001-U1,CS001,CHI_NJ,CU006,HIGH,1876.0,2590.0,0.8161,0.9631,0.91,1.0,58.9,655.1,655.1,32,2026-08-27 13:00:00
L1003::CS001-U2,L1003,L1003,OPEN,C001,CS001-U2,CS001,CHI_NJ,CU006,HIGH,1876.0,2590.0,0.8161,0.9631,0.91,1.0,58.9,655.1,655.1,32,2026-08-27 13:00:00
L1003::CS003-U1,L1003,L1003,OPEN,C009,CS003-U1,CS003,CHI_NJ,CU006,HIGH,2055.0,2590.0,0.8117,0.9611,0.71,1.0,61.09,473.91,473.91,75,2026-08-27 13:00:00
L1004::CS001-U1,L1004,L1004,OPEN,C001,CS001-U1,CS001,CHI_ATL,CU002,NORMAL,1875.6,2310.0,0.8657,0.9763,0.91,1.0,21.43,412.97,412.97,21,2026-08-27 20:00:00
L1004::CS001-U2,L1004,L1004,OPEN,C001,CS001-U2,CS001,CHI_ATL,CU002,NORMAL,1875.6,2310.0,0.8657,0.9763,0.91,1.0,21.43,412.97,412.97,21,2026-08-27 20:00:00
L1004::CS002-U1,L1004,L1004,OPEN,C002,CS002-U1,CS002,CHI_ATL,CU002,NORMAL,1777.1,2310.0,0.8434,0.9697,0.83,1.0,26.17,506.73,506.73,38,2026-08-27 20:00:00
L1004::CS003-U1,L1004,L1004,OPEN,C009,CS003-U1,CS003,CHI_ATL,CU002,NORMAL,1981.1,2310.0,0.7873,0.9546,0.71,1.0,37.45,291.45,291.45,72,2026-08-27 20:00:00
L1005::CS004-U1,L1005,L1005,OPEN,C003,CS004-U1,CS004,DAL_HOU,CU004,HIGH,1585.5,1190.0,0.8557,0.9727,0.88,1.0,38.26,-433.76,-433.76,27,2026-08-27 11:00:00
L1005::CS004-U2,L1005,L1005,OPEN,C003,CS004-U2,CS004,DAL_HOU,CU004,HIGH,1585.5,1190.0,0.8557,0.9727,0.88,1.0,38.26,-433.76,-433.76,27,2026-08-27 11:00:00
L1005::CS005-U1,L1005,L1005,OPEN,C010,CS005-U1,CS005,DAL_HOU,CU004,HIGH,1521.75,1190.0,0.8563,0.9737,0.86,1.0,37.7,-369.45,-369.45,37,2026-08-27 11:00:00
L1006::CS004-U1,L1006,L1006,OPEN,C003,CS004-U1,CS004,DAL_PHX,CU005,NORMAL,2102.1,2940.0,0.8309,0.9662,0.88,1.0,22.33,815.57,815.57,53,2026-08-27 18:00:00
L1006::CS004-U2,L1006,L1006,OPEN,C003,CS004-U2,CS004,DAL_PHX,CU005,NORMAL,2102.1,2940.0,0.8309,0.9662,0.88,1.0,22.33,815.57,815.57,53,2026-08-27 18:00:00
L1006::CS005-U1,L1006,L1006,OPEN,C010,CS005-U1,CS005,DAL_PHX,CU005,NORMAL,2027.1,2940.0,0.8069,0.9606,0.86,1.0,25.7,887.2,887.2,56,2026-08-27 18:00:00
L1007::CS004-U1,L1007,L1007,OPEN,C003,CS004-U1,CS004,DAL_ATL,CU007,HIGH,2002.8,2375.0,0.8062,0.9596,0.88,1.0,53.07,319.13,319.13,38,2026-08-27 16:00:00
L1007::CS004-U2,L1007,L1007,OPEN,C003,CS004-U2,CS004,DAL_ATL,CU007,HIGH,2002.8,2375.0,0.8062,0.9596,0.88,1.0,53.07,319.13,319.13,38,2026-08-27 16:00:00
L1007::CS005-U1,L1007,L1007,OPEN,C010,CS005-U1,CS005,DAL_ATL,CU007,HIGH,1881.8,2375.0,0.8316,0.9671,0.86,1.0,45.1,448.1,448.1,43,2026-08-27 16:00:00
L1008::CS006-U1,L1008,L1008,OPEN,C004,CS006-U1,CS006,LAX_PHX,CU003,NORMAL,1912.05,1480.0,0.8298,0.9657,0.79,1.0,22.53,-454.58,-454.58,44,2026-08-27 13:00:00
L1009::CS006-U1,L1009,L1009,OPEN,C004,CS006-U1,CS006,LAX_DAL,CU001,HIGH,2652.0,3610.0,0.8052,0.9592,0.79,1.0,63.65,894.35,894.35,72,2026-08-27 17:00:00
L1010::CS007-U1,L1010,L1010,OPEN,C005,CS007-U1,CS007,IND_ATL,CU006,CRITICAL,1536.6,1910.0,0.8624,0.9747,0.92,1.0,58.98,314.42,314.42,31,2026-08-27 14:00:00
L1011::CS007-U1,L1011,L1011,OPEN,C005,CS007-U1,CS007,IND_CLT,CU008,NORMAL,1583.3,2110.0,0.8376,0.9682,0.92,1.0,21.27,505.43,505.43,64,2026-08-27 21:00:00
L1012::CS008-U1,L1012,L1012,OPEN,C006,CS008-U1,CS008,CLT_NJ,CU002,HIGH,1560.6,2190.0,0.8144,0.9621,0.84,1.0,50.43,578.97,578.97,21,2026-08-27 19:00:00
L1013::CS009-U1,L1013,L1013,OPEN,C007,CS009-U1,CS009,ATL_NJ,CU004,HIGH,2131.2,2780.0,0.8501,0.9717,0.87,1.0,39.72,609.08,609.08,70,2026-08-27 14:00:00
L1014::CS010-U1,L1014,L1014,OPEN,C008,CS010-U1,CS010,MEM_CHI,CU005,NORMAL,1487.4,1960.0,0.8358,0.9677,0.82,1.0,21.53,451.07,451.07,38,2026-08-27 22:00:00
L1015::CS008-U1,L1015,L1015,OPEN,C006,CS008-U1,CS008,CLT_ATL,CU007,NORMAL,1239.3,1120.0,0.8391,0.9687,0.84,1.0,26.96,-146.26,-146.26,61,2026-08-27 12:00:00
L1016::CS009-U1,L1016,L1016,OPEN,C007,CS009-U1,CS009,ATL_MEM,CU003,NORMAL,1721.7,1490.0,0.8253,0.9651,0.87,1.0,23.03,-254.73,-254.73,31,2026-08-27 15:00:00
F001-S1::CS001-U1,F001-S1,F001-S1,FORECAST,C001,CS001-U1,CS001,CHI_ATL,CU001,FORECAST,1875.6,2580.0,0.8657,0.9763,0.91,0.89,16.62,687.78,612.12,21,2026-08-27 22:00:00
F001-S1::CS001-U2,F001-S1,F001-S1,FORECAST,C001,CS001-U2,CS001,CHI_ATL,CU001,FORECAST,1875.6,2580.0,0.8657,0.9763,0.91,0.89,16.62,687.78,612.12,21,2026-08-27 22:00:00
F001-S1::CS002-U1,F001-S1,F001-S1,FORECAST,C002,CS002-U1,CS002,CHI_ATL,CU001,FORECAST,1777.1,2580.0,0.8434,0.9697,0.83,0.89,21.21,781.69,695.7,38,2026-08-27 22:00:00
F001-S1::CS003-U1,F001-S1,F001-S1,FORECAST,C009,CS003-U1,CS003,CHI_ATL,CU001,FORECAST,1981.1,2580.0,0.7873,0.9546,0.71,0.89,31.78,567.12,504.74,72,2026-08-27 22:00:00
F002-S1::CS004-U1,F002-S1,F002-S1,FORECAST,C003,CS004-U1,CS004,DAL_ATL,CU006,FORECAST,2002.8,2475.0,0.8062,0.9596,0.88,0.76,28.28,443.92,337.38,38,2026-08-28 01:00:00
F002-S1::CS004-U2,F002-S1,F002-S1,FORECAST,C003,CS004-U2,CS004,DAL_ATL,CU006,FORECAST,2002.8,2475.0,0.8062,0.9596,0.88,0.76,28.28,443.92,337.38,38,2026-08-28 01:00:00
F002-S1::CS005-U1,F002-S1,F002-S1,FORECAST,C010,CS005-U1,CS005,DAL_ATL,CU006,FORECAST,1881.8,2475.0,0.8316,0.9671,0.86,0.76,23.0,570.2,433.36,43,2026-08-28 01:00:00
F003-S1::CS007-U1,F003-S1,F003-S1,FORECAST,C005,CS007-U1,CS007,IND_ATL,CU002,FORECAST,1536.6,1990.0,0.8624,0.9747,0.92,0.72,11.38,442.02,318.25,31,2026-08-28 02:00:00
F004-S1::CS009-U1,F004-S1,F004-S1,FORECAST,C007,CS009-U1,CS009,ATL_NJ,CU004,FORECAST,2131.2,2870.0,0.8501,0.9717,0.87,0.68,12.73,726.07,493.72,70,2026-08-28 04:00:00
