capacity_signal_id,carrier_id,origin_market_id,equipment_class,available_from,available_until,truck_count,expected_rate,rate_min,rate_max,max_deadhead_miles,destination_preferences,source_type,source_reference,observed_at,expires_at,availability_confidence,status
CS001,C001,CHI,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,2,1810,1701.4,1954.8,250,SOUTHEAST,COMMITTED,DEMO-CS001,2026-08-27 07:00:00,2026-08-27 18:00:00,0.91,ACTIVE
CS002,C002,CHI,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,1,1685,1583.9,1819.8,250,SOUTHEAST,MANUAL,DEMO-CS002,2026-08-27 07:00:00,2026-08-27 19:00:00,0.83,ACTIVE
CS003,C009,CHI,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,1,2025,1903.5,2187.0,250,NORTHEAST,INFERRED,DEMO-CS003,2026-08-27 07:00:00,2026-08-27 20:00:00,0.71,ACTIVE
CS004,C003,DAL,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,2,2050,1927.0,2214.0,250,ANY,COMMITTED,DEMO-CS004,2026-08-27 07:00:00,2026-08-27 21:00:00,0.88,ACTIVE
CS005,C010,DAL,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,1,1925,1809.5,2079.0,250,SOUTHEAST,MANUAL,DEMO-CS005,2026-08-27 07:00:00,2026-08-27 22:00:00,0.86,ACTIVE
CS006,C004,LAX,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,1,2460,2312.4,2656.8,250,SOUTHWEST,MANUAL,DEMO-CS006,2026-08-27 07:00:00,2026-08-27 23:00:00,0.79,ACTIVE
CS007,C005,IND,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,1,1525,1433.5,1647.0,250,SOUTHEAST,COMMITTED,DEMO-CS007,2026-08-27 07:00:00,2026-08-28 00:00:00,0.92,ACTIVE
CS008,C006,CLT,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,1,1495,1405.3,1614.6,250,NORTHEAST,MANUAL,DEMO-CS008,2026-08-27 07:00:00,2026-08-28 01:00:00,0.84,ACTIVE
CS009,C007,ATL,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,1,2130,2002.2,2300.4,250,NORTHEAST,COMMITTED,DEMO-CS009,2026-08-27 07:00:00,2026-08-28 02:00:00,0.87,ACTIVE
CS010,C008,MEM,DRY_VAN_53,2026-08-27 13:00:00,2026-08-28 20:00:00,1,1510,1419.4,1630.8,250,MIDWEST,MANUAL,DEMO-CS010,2026-08-27 07:00:00,2026-08-28 03:00:00,0.82,ACTIVE
