carrier_id,lane_id,loads_moved,average_booked_rate,average_quote,acceptance_rate,on_time_pickup_rate,on_time_delivery_rate,falloff_rate,relationship_score
C001,CHI_ATL,21,1974.0,1934.52,0.872,0.979,0.974,0.019,0.92
C001,CHI_MEM,59,1589.25,1557.46,0.847,0.973,0.967,0.023,0.92
C001,CHI_NJ,32,1975.0,1935.5,0.822,0.967,0.96,0.027,0.92
C002,CHI_ATL,38,1915.25,1876.94,0.855,0.973,0.967,0.022,0.84
C002,CHI_MEM,74,1540.5,1509.69,0.83,0.967,0.96,0.026,0.84
C003,DAL_HOU,27,888.75,870.98,0.864,0.976,0.97,0.02,0.88
C003,DAL_PHX,53,2180.25,2136.64,0.839,0.97,0.963,0.024,0.88
C003,DAL_ATL,38,1932.0,1893.36,0.814,0.964,0.956,0.028,0.88
C004,LAX_PHX,44,1090.12,1068.32,0.844,0.969,0.963,0.024,0.79
C004,LAX_DAL,72,2940.0,2881.2,0.819,0.963,0.956,0.028,0.79
C005,IND_ATL,31,1554.0,1522.92,0.868,0.978,0.972,0.019,0.9
C005,IND_CLT,64,1670.75,1637.34,0.843,0.972,0.965,0.023,0.9
C006,CLT_ATL,61,855.75,838.63,0.85,0.972,0.966,0.023,0.82
C006,CLT_NJ,21,1659.0,1625.82,0.825,0.966,0.959,0.027,0.82
C007,ATL_NJ,70,2133.0,2090.34,0.859,0.975,0.969,0.021,0.86
C007,ATL_MEM,31,1109.25,1087.07,0.834,0.969,0.962,0.025,0.86
C008,MEM_CHI,38,1453.5,1424.43,0.848,0.971,0.965,0.024,0.81
C008,MEM_ATL,37,1176.0,1152.48,0.823,0.965,0.958,0.028,0.81
C009,CHI_NJ,75,2100.0,2058.0,0.831,0.965,0.958,0.027,0.73
C009,CHI_ATL,72,1915.25,1876.94,0.806,0.959,0.951,0.031,0.73
C010,DAL_HOU,37,916.87,898.54,0.866,0.977,0.971,0.02,0.89
C010,DAL_ATL,43,1817.0,1780.66,0.841,0.971,0.964,0.024,0.89
C010,DAL_PHX,56,2180.25,2136.64,0.816,0.965,0.957,0.028,0.89
