carrier_id,lane_id,preference_level,max_deadhead_miles,source,confidence
C001,CHI_ATL,PREFERRED,250,HISTORICAL_INFERENCE,0.922
C001,CHI_MEM,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.922
C001,CHI_NJ,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.922
C002,CHI_ATL,PREFERRED,250,HISTORICAL_INFERENCE,0.905
C002,CHI_MEM,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.905
C003,DAL_HOU,PREFERRED,250,HISTORICAL_INFERENCE,0.914
C003,DAL_PHX,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.914
C003,DAL_ATL,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.914
C004,LAX_PHX,PREFERRED,250,HISTORICAL_INFERENCE,0.894
C004,LAX_DAL,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.894
C005,IND_ATL,PREFERRED,250,HISTORICAL_INFERENCE,0.918
C005,IND_CLT,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.918
C006,CLT_ATL,PREFERRED,250,HISTORICAL_INFERENCE,0.9
C006,CLT_NJ,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.9
C007,ATL_NJ,PREFERRED,250,HISTORICAL_INFERENCE,0.909
C007,ATL_MEM,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.909
C008,MEM_CHI,PREFERRED,250,HISTORICAL_INFERENCE,0.898
C008,MEM_ATL,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.898
C009,CHI_NJ,PREFERRED,250,HISTORICAL_INFERENCE,0.881
C009,CHI_ATL,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.881
C010,DAL_HOU,PREFERRED,250,HISTORICAL_INFERENCE,0.916
C010,DAL_ATL,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.916
C010,DAL_PHX,ACCEPTABLE,250,HISTORICAL_INFERENCE,0.916
