carrier_id,carrier_name,mc_number,dot_number,fleet_size,equipment_types,relationship_score,relationship_tier
C001,NorthStar Transport,MC102301,DOT901201,86,DRY_VAN_53,0.92,STRATEGIC
C002,RedLine Logistics,MC203412,DOT812340,54,DRY_VAN_53,0.84,CORE
C003,Lone Star Freight,MC304523,DOT723451,72,DRY_VAN_53,0.88,CORE
C004,Pacific Route Carriers,MC405634,DOT634562,61,DRY_VAN_53,0.79,DEVELOPING
C005,Circle City Trucking,MC506745,DOT545673,43,DRY_VAN_53,0.9,STRATEGIC
C006,Queen City Haul,MC607856,DOT456784,38,DRY_VAN_53,0.82,CORE
C007,Peach State Express,MC708967,DOT367895,58,DRY_VAN_53,0.86,CORE
C008,Memphis Motor Freight,MC809078,DOT278906,47,DRY_VAN_53,0.81,CORE
C009,MetroFreight Partners,MC910189,DOT189017,30,DRY_VAN_53,0.73,DEVELOPING
C010,Sunbelt Dedicated,MC111290,DOT990128,66,DRY_VAN_53,0.89,STRATEGIC
