lane_id,origin_market_id,destination_market_id,miles,base_spot_rate,equipment_class
CHI_ATL,CHI,ATL,720,2350,DRY_VAN_53
CHI_MEM,CHI,MEM,535,1950,DRY_VAN_53
CHI_NJ,CHI,NJ,790,2500,DRY_VAN_53
DAL_HOU,DAL,HOU,240,1125,DRY_VAN_53
DAL_PHX,DAL,PHX,1065,2850,DRY_VAN_53
DAL_ATL,DAL,ATL,780,2300,DRY_VAN_53
LAX_PHX,LAX,PHX,375,1425,DRY_VAN_53
LAX_DAL,LAX,DAL,1435,3500,DRY_VAN_53
IND_ATL,IND,ATL,535,1850,DRY_VAN_53
IND_CLT,IND,CLT,585,2050,DRY_VAN_53
CLT_ATL,CLT,ATL,245,1050,DRY_VAN_53
CLT_NJ,CLT,NJ,625,2100,DRY_VAN_53
ATL_NJ,ATL,NJ,860,2700,DRY_VAN_53
ATL_MEM,ATL,MEM,385,1450,DRY_VAN_53
MEM_CHI,MEM,CHI,535,1900,DRY_VAN_53
MEM_ATL,MEM,ATL,385,1400,DRY_VAN_53
