market_id,market_name,state,zip3,lat,lon,region
CHI,Chicago,IL,606,41.8781,-87.6298,MIDWEST
ATL,Atlanta,GA,303,33.749,-84.388,SOUTHEAST
DAL,Dallas,TX,752,32.7767,-96.797,SOUTH_CENTRAL
HOU,Houston,TX,770,29.7604,-95.3698,SOUTH_CENTRAL
LAX,Los Angeles,CA,900,34.0522,-118.2437,WEST
PHX,Phoenix,AZ,850,33.4484,-112.074,WEST
IND,Indianapolis,IN,462,39.7684,-86.1581,MIDWEST
CLT,Charlotte,NC,282,35.2271,-80.8431,SOUTHEAST
NJ,North Jersey,NJ,070,40.7357,-74.1724,NORTHEAST
MEM,Memphis,TN,381,35.1495,-90.049,SOUTHEAST
