load_id,customer_id,customer_name,lane_id,origin_market_id,destination_market_id,equipment_class,load_created_timestamp,pickup_start,pickup_end,delivery_start,delivery_end,customer_sell_rate,fallback_buy_rate,coverage_deadline,priority,service_tier,coverage_status,current_best_quote
L1001,CU001,Harbor Retail,CHI_ATL,CHI,ATL,DRY_VAN_53,2026-08-27 06:00:00,2026-08-27 16:00:00,2026-08-27 19:00:00,2026-08-28 08:00:00,2026-08-28 13:00:00,2600,2325,2026-08-27 12:00:00,CRITICAL,PLATINUM,QUOTE_IN_HAND,2285.0
L1002,CU003,Summit Home,CHI_MEM,CHI,MEM,DRY_VAN_53,2026-08-27 05:00:00,2026-08-27 19:00:00,2026-08-27 22:00:00,2026-08-28 06:00:00,2026-08-28 11:00:00,2225,1980,2026-08-27 15:00:00,NORMAL,STANDARD,UNCOVERED,
L1003,CU006,Keystone Wholesale,CHI_NJ,CHI,NJ,DRY_VAN_53,2026-08-27 04:00:00,2026-08-27 22:00:00,2026-08-28 01:00:00,2026-08-28 15:00:00,2026-08-28 20:00:00,2940,2590,2026-08-27 13:00:00,HIGH,PLATINUM,UNCOVERED,
L1004,CU002,Crown Foods,CHI_ATL,CHI,ATL,DRY_VAN_53,2026-08-27 03:00:00,2026-08-28 01:00:00,2026-08-28 04:00:00,2026-08-28 17:00:00,2026-08-28 22:00:00,2540,2310,2026-08-27 20:00:00,NORMAL,GOLD,UNCOVERED,
L1005,CU004,BluePeak Manufacturing,DAL_HOU,DAL,HOU,DRY_VAN_53,2026-08-27 02:00:00,2026-08-28 04:00:00,2026-08-28 07:00:00,2026-08-28 11:00:00,2026-08-28 14:00:00,1450,1190,2026-08-27 11:00:00,HIGH,GOLD,QUOTE_IN_HAND,1150.0
L1006,CU005,Oak & Main Stores,DAL_PHX,DAL,PHX,DRY_VAN_53,2026-08-27 01:00:00,2026-08-27 16:00:00,2026-08-27 19:00:00,2026-08-28 15:00:00,2026-08-28 20:00:00,3330,2940,2026-08-27 18:00:00,NORMAL,STANDARD,UNCOVERED,
L1007,CU007,Atlas Consumer,DAL_ATL,DAL,ATL,DRY_VAN_53,2026-08-27 00:00:00,2026-08-27 19:00:00,2026-08-27 22:00:00,2026-08-28 12:00:00,2026-08-28 17:00:00,2710,2375,2026-08-27 16:00:00,HIGH,GOLD,UNCOVERED,
L1008,CU003,Summit Home,LAX_PHX,LAX,PHX,DRY_VAN_53,2026-08-26 23:00:00,2026-08-27 22:00:00,2026-08-28 01:00:00,2026-08-28 06:00:00,2026-08-28 11:00:00,1740,1480,2026-08-27 13:00:00,NORMAL,STANDARD,UNCOVERED,
L1009,CU001,Harbor Retail,LAX_DAL,LAX,DAL,DRY_VAN_53,2026-08-27 06:00:00,2026-08-28 01:00:00,2026-08-28 04:00:00,2026-08-29 08:00:00,2026-08-29 13:00:00,4090,3610,2026-08-27 17:00:00,HIGH,PLATINUM,QUOTE_IN_HAND,3570.0
L1010,CU006,Keystone Wholesale,IND_ATL,IND,ATL,DRY_VAN_53,2026-08-27 05:00:00,2026-08-28 04:00:00,2026-08-28 07:00:00,2026-08-28 15:00:00,2026-08-28 20:00:00,2260,1910,2026-08-27 14:00:00,CRITICAL,PLATINUM,UNCOVERED,
L1011,CU008,Evergreen Markets,IND_CLT,IND,CLT,DRY_VAN_53,2026-08-27 04:00:00,2026-08-27 16:00:00,2026-08-27 19:00:00,2026-08-28 05:00:00,2026-08-28 10:00:00,2380,2110,2026-08-27 21:00:00,NORMAL,STANDARD,UNCOVERED,
L1012,CU002,Crown Foods,CLT_NJ,CLT,NJ,DRY_VAN_53,2026-08-27 03:00:00,2026-08-27 19:00:00,2026-08-27 22:00:00,2026-08-28 08:00:00,2026-08-28 13:00:00,2520,2190,2026-08-27 19:00:00,HIGH,GOLD,UNCOVERED,
L1013,CU004,BluePeak Manufacturing,ATL_NJ,ATL,NJ,DRY_VAN_53,2026-08-27 02:00:00,2026-08-27 22:00:00,2026-08-28 01:00:00,2026-08-28 17:00:00,2026-08-28 22:00:00,3180,2780,2026-08-27 14:00:00,HIGH,GOLD,QUOTE_IN_HAND,2740.0
L1014,CU005,Oak & Main Stores,MEM_CHI,MEM,CHI,DRY_VAN_53,2026-08-27 01:00:00,2026-08-28 01:00:00,2026-08-28 04:00:00,2026-08-28 12:00:00,2026-08-28 17:00:00,2280,1960,2026-08-27 22:00:00,NORMAL,STANDARD,UNCOVERED,
L1015,CU007,Atlas Consumer,CLT_ATL,CLT,ATL,DRY_VAN_53,2026-08-27 00:00:00,2026-08-28 04:00:00,2026-08-28 07:00:00,2026-08-28 11:00:00,2026-08-28 14:00:00,1380,1120,2026-08-27 12:00:00,NORMAL,GOLD,UNCOVERED,
L1016,CU003,Summit Home,ATL_MEM,ATL,MEM,DRY_VAN_53,2026-08-26 23:00:00,2026-08-27 16:00:00,2026-08-27 19:00:00,2026-08-28 00:00:00,2026-08-28 05:00:00,1725,1490,2026-08-27 15:00:00,NORMAL,STANDARD,UNCOVERED,
