run_id,decision_id,candidate_id,demand_id,load_id,demand_type,carrier_id,capacity_unit_id,capacity_signal_id,lane_id,customer_id,priority,expected_buy_rate,fallback_buy_rate,accept_probability,service_probability,availability_confidence,arrival_probability,expected_failure_cost,incremental_capacity_value,weighted_value,historical_support_loads,coverage_deadline,portfolio_objective_value
RUN-DEMO-001,D001,F001-S1::CS003-U1,F001-S1,F001-S1,FORECAST,C009,CS003-U1,CS003,CHI_ATL,CU001,FORECAST,1981.1,2580.0,0.7873,0.9546,0.71,0.89,31.78,567.12,504.74,72,2026-08-27 22:00:00,6699.01
RUN-DEMO-001,D002,F002-S1::CS004-U1,F002-S1,F002-S1,FORECAST,C003,CS004-U1,CS004,DAL_ATL,CU006,FORECAST,2002.8,2475.0,0.8062,0.9596,0.88,0.76,28.28,443.92,337.38,38,2026-08-28 01:00:00,6699.01
RUN-DEMO-001,D003,L1001::CS001-U1,L1001,L1001,OPEN,C001,CS001-U1,CS001,CHI_ATL,CU001,CRITICAL,1875.6,2325.0,0.8657,0.9763,0.91,1.0,56.91,392.49,392.49,21,2026-08-27 12:00:00,6699.01
RUN-DEMO-001,D004,L1003::CS001-U2,L1003,L1003,OPEN,C001,CS001-U2,CS001,CHI_NJ,CU006,HIGH,1876.0,2590.0,0.8161,0.9631,0.91,1.0,58.9,655.1,655.1,32,2026-08-27 13:00:00,6699.01
RUN-DEMO-001,D005,L1004::CS002-U1,L1004,L1004,OPEN,C002,CS002-U1,CS002,CHI_ATL,CU002,NORMAL,1777.1,2310.0,0.8434,0.9697,0.83,1.0,26.17,506.73,506.73,38,2026-08-27 20:00:00,6699.01
RUN-DEMO-001,D006,L1006::CS004-U2,L1006,L1006,OPEN,C003,CS004-U2,CS004,DAL_PHX,CU005,NORMAL,2102.1,2940.0,0.8309,0.9662,0.88,1.0,22.33,815.57,815.57,53,2026-08-27 18:00:00,6699.01
RUN-DEMO-001,D007,L1007::CS005-U1,L1007,L1007,OPEN,C010,CS005-U1,CS005,DAL_ATL,CU007,HIGH,1881.8,2375.0,0.8316,0.9671,0.86,1.0,45.1,448.1,448.1,43,2026-08-27 16:00:00,6699.01
RUN-DEMO-001,D008,L1009::CS006-U1,L1009,L1009,OPEN,C004,CS006-U1,CS006,LAX_DAL,CU001,HIGH,2652.0,3610.0,0.8052,0.9592,0.79,1.0,63.65,894.35,894.35,72,2026-08-27 17:00:00,6699.01
RUN-DEMO-001,D009,L1011::CS007-U1,L1011,L1011,OPEN,C005,CS007-U1,CS007,IND_CLT,CU008,NORMAL,1583.3,2110.0,0.8376,0.9682,0.92,1.0,21.27,505.43,505.43,64,2026-08-27 21:00:00,6699.01
RUN-DEMO-001,D010,L1012::CS008-U1,L1012,L1012,OPEN,C006,CS008-U1,CS008,CLT_NJ,CU002,HIGH,1560.6,2190.0,0.8144,0.9621,0.84,1.0,50.43,578.97,578.97,21,2026-08-27 19:00:00,6699.01
RUN-DEMO-001,D011,L1013::CS009-U1,L1013,L1013,OPEN,C007,CS009-U1,CS009,ATL_NJ,CU004,HIGH,2131.2,2780.0,0.8501,0.9717,0.87,1.0,39.72,609.08,609.08,70,2026-08-27 14:00:00,6699.01
RUN-DEMO-001,D012,L1014::CS010-U1,L1014,L1014,OPEN,C008,CS010-U1,CS010,MEM_CHI,CU005,NORMAL,1487.4,1960.0,0.8358,0.9677,0.82,1.0,21.53,451.07,451.07,38,2026-08-27 22:00:00,6699.01
